epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.315,1.97875,4.25411,1.54997,0.90698,0.10027,0.17577,0.09703,1.72425,2.63095,1.36175,4.208e-05,4.208e-05,4.208e-05
2,21.4455,1.74139,1.91436,1.41806,0.63538,0.65654,0.69918,0.37317,1.54074,4.26202,1.29401,8.76495e-05,8.76495e-05,8.76495e-05
3,27.7807,1.52479,1.13716,1.2349,0.66182,0.8903,0.85227,0.4324,1.65635,1.59328,1.35393,0.000131344,0.000131344,0.000131344
4,33.6273,1.50541,0.964,1.24573,0.75656,0.84551,0.85531,0.40682,1.93528,1.06463,1.49874,0.000173164,0.000173164,0.000173164
5,39.6275,1.34759,0.87817,1.13853,0.89727,0.87986,0.91803,0.52906,1.48471,0.82628,1.2399,0.00021311,0.00021311,0.00021311
6,45.5872,1.36308,0.8663,1.19015,0.89369,0.87692,0.9238,0.54081,1.47001,0.73269,1.23153,0.000251181,0.000251181,0.000251181
7,51.7128,1.32144,0.8453,1.16116,0.89769,0.86078,0.89768,0.5563,1.45415,0.70564,1.20699,0.000287377,0.000287377,0.000287377
8,57.7218,1.29901,0.80448,1.1083,0.87259,0.91973,0.90979,0.55783,1.44144,0.73504,1.25681,0.000321698,0.000321698,0.000321698
9,63.8169,1.3215,0.79581,1.15423,0.81055,0.88462,0.89264,0.53116,1.40524,0.71847,1.20055,0.000354145,0.000354145,0.000354145
10,69.5798,1.2808,0.76147,1.09581,0.8635,0.8358,0.90769,0.55326,1.46277,0.72108,1.23358,0.000384717,0.000384717,0.000384717
11,75.7625,1.26716,0.71584,1.11329,0.8239,0.90239,0.89241,0.52079,1.56268,0.69281,1.26012,0.000413415,0.000413415,0.000413415
12,81.6336,1.25292,0.74699,1.11999,0.87018,0.89482,0.92656,0.53682,1.55804,0.68406,1.27294,0.000411437,0.000411437,0.000411437
13,87.7946,1.17199,0.66951,1.05359,0.89511,0.90333,0.92885,0.58446,1.40657,0.64324,1.20539,0.000401022,0.000401022,0.000401022
14,93.9807,1.19039,0.6715,1.09726,0.88674,0.91048,0.93256,0.5803,1.36911,0.60776,1.1937,0.000390608,0.000390608,0.000390608
15,100.291,1.20653,0.67935,1.0581,0.89655,0.90175,0.93523,0.57781,1.33775,0.61171,1.1901,0.000380193,0.000380193,0.000380193
16,106.444,1.15046,0.69362,1.07521,0.89922,0.91174,0.92346,0.58378,1.35089,0.61712,1.18313,0.000369778,0.000369778,0.000369778
17,112.668,1.19255,0.66496,1.0874,0.89153,0.90776,0.93075,0.59589,1.32117,0.61075,1.16767,0.000359363,0.000359363,0.000359363
18,118.98,1.12648,0.628,1.06313,0.90299,0.91334,0.92754,0.59693,1.34617,0.62216,1.1809,0.000348948,0.000348948,0.000348948
19,125.316,1.12051,0.6086,1.07688,0.90116,0.9029,0.92536,0.58551,1.322,0.59744,1.1791,0.000338534,0.000338534,0.000338534
20,131.53,1.07789,0.64812,1.03698,0.896,0.90559,0.92454,0.59132,1.31205,0.57848,1.17014,0.000328119,0.000328119,0.000328119
21,137.715,1.13434,0.63592,1.06644,0.8933,0.91398,0.9186,0.56832,1.43657,0.60939,1.22535,0.000317704,0.000317704,0.000317704
