epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4371,2.13053,3.94504,1.63718,0.07673,0.24215,0.01246,0.00463,2.06366,inf,2.28688,0.0928,0.0008,0.0008
2,23.2043,2.22336,3.29554,1.84666,0,0,0,0,nan,nan,nan,0.0846663,0.00166634,0.00166634
3,29.1007,2.02748,2.19681,1.72725,0,0,0,0,nan,nan,nan,0.076497,0.00249704,0.00249704
4,35.1016,1.8743,1.84082,1.67485,0,0,0,0,nan,nan,nan,0.0682921,0.0032921,0.0032921
5,41.0183,1.82762,1.60336,1.6004,0,0,0,0,nan,nan,nan,0.0600515,0.00405152,0.00405152
6,47.8102,1.74712,1.49646,1.58424,0,0,0,0,nan,nan,nan,0.0517753,0.0047753,0.0047753
7,54.0372,1.72862,1.44462,1.54911,0,0,0,0,nan,nan,nan,0.0434634,0.00546344,0.00546344
8,60.0819,1.78486,1.39188,1.58536,0,0,0,0,nan,nan,nan,0.0351159,0.00611594,0.00611594
9,65.9679,1.71304,1.27192,1.52125,0,0,0,0,nan,nan,nan,0.0267328,0.0067328,0.0067328
10,72.2707,1.66166,1.20675,1.44033,0,0,0,0,nan,nan,nan,0.018314,0.00731402,0.00731402
11,78.31,1.62162,1.15236,1.46362,0,0,0,0,nan,nan,nan,0.0098596,0.0078596,0.0078596
12,85.0257,1.58348,1.17558,1.47028,0,0,0,0,nan,nan,nan,0.007822,0.007822,0.007822
13,91.0135,1.57961,1.10891,1.38808,0,0,0,0,nan,nan,nan,0.007624,0.007624,0.007624
14,97.6861,1.56038,1.08647,1.43543,0,0,0,0,nan,nan,nan,0.007426,0.007426,0.007426
15,103.889,1.52186,1.05516,1.35104,0.06672,0.00513,2e-05,1e-05,nan,nan,nan,0.007228,0.007228,0.007228
16,110.283,1.50483,1.11725,1.44127,8e-05,0.01538,9e-05,2e-05,3.98449,inf,29.574,0.00703,0.00703,0.00703
17,116.329,1.53793,1.07066,1.40232,0.06701,0.00278,8e-05,3e-05,4.14595,38.85,12.4376,0.006832,0.006832,0.006832
